state,action,reward,next_state
"[65.30416870117188, 12.272753715515137, 8.7581787109375]",-32.65208435058594,177.91593528337697,"[32.65208435058594, 12.168267250061035, 5.405732154846191]"
"[32.65208435058594, 12.168267250061035, 5.405732154846191]",-12.168267250061035,20.342102690753677,"[20.48381805419922, 23.861614227294922, 5.272208213806152]"
"[20.48381805419922, 23.861614227294922, 5.272208213806152]",0.0,-17.210666697994196,"[20.48381805419922, 34.29566955566406, 6.9369049072265625]"
"[20.48381805419922, 34.29566955566406, 6.9369049072265625]",0.0,-13.157505305259702,"[20.48381805419922, 66.12667846679688, 8.38654613494873]"
"[20.48381805419922, 66.12667846679688, 8.38654613494873]",0.0,-27.344430103623246,"[20.48381805419922, 84.76201629638672, 8.218034744262695]"
"[20.48381805419922, 84.76201629638672, 8.218034744262695]",0.0,-28.717077586736618,"[20.48381805419922, 99.98579406738281, 4.7019124031066895]"
"[20.48381805419922, 99.98579406738281, 4.7019124031066895]",0.0,-24.656164658293456,"[20.48381805419922, 84.5478286743164, 7.786884307861328]"
"[20.48381805419922, 84.5478286743164, 7.786884307861328]",0.0,-25.48145631238597,"[20.48381805419922, 65.73446655273438, 7.125914096832275]"
"[20.48381805419922, 65.73446655273438, 7.125914096832275]",0.0,-11.461068335549493,"[20.48381805419922, 48.73473358154297, 5.098283290863037]"
"[20.48381805419922, 48.73473358154297, 5.098283290863037]",0.0,-13.111326772484823,"[20.48381805419922, 30.637418746948242, 6.762558460235596]"
"[20.48381805419922, 30.637418746948242, 6.762558460235596]",0.0,-10.011307663689127,"[20.48381805419922, 26.995901107788086, 3.9642751216888428]"
"[20.48381805419922, 26.995901107788086, 3.9642751216888428]",0.0,-18.860266172333166,"[20.48381805419922, 47.164588928222656, 3.9043209552764893]"
"[20.48381805419922, 47.164588928222656, 3.9043209552764893]",0.0,-21.094997658130342,"[20.48381805419922, 54.85911178588867, 5.279261589050293]"
"[20.48381805419922, 54.85911178588867, 5.279261589050293]",0.0,-28.80967263540913,"[20.48381805419922, 95.52256774902344, 2.1283161640167236]"
"[20.48381805419922, 95.52256774902344, 2.1283161640167236]",50.0,-35.61662206817668,"[70.48381805419922, 104.66533660888672, 2.8828470706939697]"
"[70.48381805419922, 104.66533660888672, 2.8828470706939697]",50.0,-31.245938217056448,"[100.0, 123.3900375366211, 1.9937925338745117]"
"[100.0, 123.3900375366211, 1.9937925338745117]",0.0,-36.26155933412209,"[100.0, 114.63899230957031, 3.0905349254608154]"
"[100.0, 114.63899230957031, 3.0905349254608154]",0.0,-24.30238973530587,"[100.0, 94.75940704345703, 3.274209499359131]"
"[100.0, 94.75940704345703, 3.274209499359131]",-94.75940704345703,68.41716226792171,"[5.240592956542969, 82.80716705322266, 0.8488685488700867]"
"[5.240592956542969, 82.80716705322266, 0.8488685488700867]",50.0,-16.316769368983998,"[55.24059295654297, 53.14931106567383, 3.5099759101867676]"
"[55.24059295654297, 53.14931106567383, 3.5099759101867676]",-53.14931106567383,95.51346143087848,"[2.0912818908691406, 21.74805450439453, 4.936135292053223]"
"[2.0912818908691406, 21.74805450439453, 4.936135292053223]",0.0,-2.390132422033885,"[2.0912818908691406, 1.1974173784255981, 5.002943515777588]"
"[50.0, 6.9313554763793945, 5.642148494720459]",-6.9313554763793945,51.72136904280341,"[43.06864547729492, 8.565947532653809, 5.748210430145264]"
"[43.06864547729492, 8.565947532653809, 5.748210430145264]",-8.565947532653809,3.132353122363755,"[34.5026969909668, 18.74584197998047, 4.427999496459961]"
"[34.5026969909668, 18.74584197998047, 4.427999496459961]",-18.74584197998047,23.56059939537605,"[15.756855010986328, 0.8124154210090637, 6.685501575469971]"
"[15.756855010986328, 0.8124154210090637, 6.685501575469971]",-7.878427505493164,4.245743738791877,"[7.878427505493164, 3.8142266273498535, 9.0253267288208]"
"[7.878427505493164, 3.8142266273498535, 9.0253267288208]",-3.939213752746582,-7.672915537185579,"[3.939213752746582, 49.58898162841797, 6.386301517486572]"
"[3.939213752746582, 49.58898162841797, 6.386301517486572]",0.0,-20.38097353267684,"[3.939213752746582, 65.84109497070312, 9.029075622558594]"
"[3.939213752746582, 65.84109497070312, 9.029075622558594]",0.0,-30.31503871864056,"[3.939213752746582, 89.56707000732422, 7.923989295959473]"
