time/total_timesteps,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates
8900,87.98706,-2977.24658203125,58613.640625,0.001,8799
9000,90.07315,-3016.030517578125,53506.60546875,0.001,8899
9100,105.50746,-3088.366455078125,67184.0703125,0.001,8999
9200,101.442696,-3100.338134765625,77412.84375,0.001,9099
9300,96.176125,-3048.276611328125,76767.15625,0.001,9199
9400,91.921875,-3111.92333984375,70802.234375,0.001,9299
9500,91.465096,-3211.033203125,61072.10546875,0.001,9399
9600,94.38633,-3224.993408203125,69281.421875,0.001,9499
9700,103.0322,-3276.1298828125,45495.1484375,0.001,9599
9800,85.6596,-3278.426513671875,53591.578125,0.001,9699
9900,91.11086,-3323.514892578125,64643.62890625,0.001,9799
10000,90.27608,-3320.076171875,57998.19140625,0.001,9899
